,name,city,country,IATA,ICAO,Latitude,Longtitude,Altitude,geometry
6453,Brampton Island Airport,Brampton Island,Australia,BMP,YBPI,-20.803300857543945,149.27000427246094,11,POINT (149.2700042724609375 -20.8033008575439453)
6454,Alameda Naval Air Station,Alameda,United States,NGZ,KNGZ,37.78889846801758,-122.31999969482422,10,POINT (-122.3199996948242188 37.7888984680175781)
6458,Cochrane Airport,Cochrane,Canada,YCN,CYCN,49.10559844970703,-81.01360321044922,861,POINT (-81.0136032104492188 49.1055984497070312)
6459,Estadual Arthur Siqueira Airport,Braganca Paulista,Brazil,BJP,SBBP,-22.979162,-46.537508,2887,POINT (-46.5375080000000025 -22.9791619999999988)
6460,Busselton Regional Airport,Brusselton,Australia,BQB,YBLN,-33.6884231567,115.401596069,55,POINT (115.4015960690000071 -33.6884231566999972)
6461,Srednekolymsk Airport,Srednekolymsk,Russia,SEK,UESK,67.4805,153.7364,60,POINT (153.7364000000000033 67.4805000000000064)
6463,Inverell Airport,Inverell,Australia,IVR,YIVL,-29.888299942,151.143997192,2667,POINT (151.1439971920000005 -29.8882999419999997)
6464,Glen Innes Airport,Glen Innes,Australia,GLI,YGLI,-29.674999237060547,151.68899536132812,3433,POINT (151.6889953613281250 -29.6749992370605469)
6466,Immokalee Regional Airport,Immokalee ,United States,IMM,KIMM,26.43320084,-81.40100098,37,POINT (-81.4010009800000063 26.4332008400000014)
6467,Maranggo Airport,Sulawesi Tenggara,Indonesia,TQQ,WA44,-5.7645702362061,123.91699981689,169,POINT (123.9169998168899980 -5.7645702362061000)
6469,Yichun Mingyueshan Airport,Yichun,China,YIC,ZSYC,27.8025,114.3062,430,POINT (114.3062000000000040 27.8024999999999984)
6470,Dinwiddie County Airport,Petersburg,United States,PTB,KPTB,37.183799743652,-77.507400512695,193,POINT (-77.5074005126949999 37.1837997436520027)
6474,Sheboygan County Memorial Airport,Sheboygan,United States,SBM,KSBM,43.76959991,-87.85140228,755,POINT (-87.8514022800000021 43.7695999099999966)
6475,Fortescue - Dave Forrest Aerodrome,Cloudbreak,Australia,KFE,YFDF,-22.290754,119.437143,1555,POINT (119.4371430000000061 -22.2907539999999997)
6477,Bajura Airport,Bajura,Nepal,BJU,VNBR,29.50200080871582,81.66899871826172,4300,POINT (81.6689987182617188 29.5020008087158203)
6481,Pinal Airpark,Marana,United States,MZJ,KMZJ,32.5106010437,-111.32800293,1893,POINT (-111.3280029299999967 32.5106010436999995)
6483,Safford Regional Airport,Safford,United States,SAD,KSAD,32.85480118,-109.6350021,3179,POINT (-109.6350020999999941 32.8548011800000026)
6485,Solomon Airport,Solomon,Australia,SLJ,YSOL,-22.2554,117.7627,2030,POINT (117.7626999999999953 -22.2554000000000016)
6487,Kerama Airport,Kerama,Japan,KJP,ROKR,26.1683006287,127.292999268,156,POINT (127.2929992680000026 26.1683006286999991)
6489,Ekibastuz Airport,Ekibastuz,Kazakhstan,EKB,UASB,51.59099960327149,75.21499633789062,621,POINT (75.2149963378906250 51.5909996032714915)
6492,Sikeston Memorial Municipal Airport,Sikeston,United States,SIK,KSIK,36.898899078369,-89.561798095703,315,POINT (-89.5617980957029971 36.8988990783689985)
6493,Tetiaroa Airport,Tetiaroa,French Polynesia,TTI,NTTE,-17.0132999420166,-149.58700561523438,7,POINT (-149.5870056152343750 -17.0132999420166016)
6494,Floyd Bennett Memorial Airport,Queensbury,United States,GFL,KGFL,43.3412017822,-73.6102981567,328,POINT (-73.6102981566999972 43.3412017822000024)
6497,Martin State Airport,Baltimore,United States,MTN,KMTN,39.325699,-76.413803,21,POINT (-76.4138030000000015 39.3256990000000002)
6500,Eastern Slopes Regional Airport,Fryeburg,United States,FRY,KIZG,43.9911003113,-70.9478988647,454,POINT (-70.9478988646999937 43.9911003113000021)
6502,Lakefront Airport,New Orleans,United States,NEW,KNEW,30.042400360107,-90.028297424316,8,POINT (-90.0282974243159941 30.0424003601069991)
